Date,Start of Year,Start of Quarter,Start of Month
1/31/13,1/1/13,1/1/13,1/1/13
2/1/13,1/1/13,1/1/13,2/1/13
2/2/13,1/1/13,1/1/13,2/1/13
2/3/13,1/1/13,1/1/13,2/1/13
2/4/13,1/1/13,1/1/13,2/1/13
2/5/13,1/1/13,1/1/13,2/1/13
2/6/13,1/1/13,1/1/13,2/1/13
2/7/13,1/1/13,1/1/13,2/1/13
2/8/13,1/1/13,1/1/13,2/1/13
2/9/13,1/1/13,1/1/13,2/1/13
2/10/13,1/1/13,1/1/13,2/1/13
2/11/13,1/1/13,1/1/13,2/1/13
2/12/13,1/1/13,1/1/13,2/1/13
2/13/13,1/1/13,1/1/13,2/1/13
2/14/13,1/1/13,1/1/13,2/1/13
2/15/13,1/1/13,1/1/13,2/1/13
2/16/13,1/1/13,1/1/13,2/1/13
2/17/13,1/1/13,1/1/13,2/1/13
2/18/13,1/1/13,1/1/13,2/1/13
2/19/13,1/1/13,1/1/13,2/1/13
2/20/13,1/1/13,1/1/13,2/1/13
2/21/13,1/1/13,1/1/13,2/1/13
2/22/13,1/1/13,1/1/13,2/1/13
2/23/13,1/1/13,1/1/13,2/1/13
2/24/13,1/1/13,1/1/13,2/1/13
2/25/13,1/1/13,1/1/13,2/1/13
2/26/13,1/1/13,1/1/13,2/1/13
2/27/13,1/1/13,1/1/13,2/1/13
2/28/13,1/1/13,1/1/13,2/1/13
3/1/13,1/1/13,1/1/13,3/1/13
3/2/13,1/1/13,1/1/13,3/1/13
3/3/13,1/1/13,1/1/13,3/1/13
3/4/13,1/1/13,1/1/13,3/1/13
3/5/13,1/1/13,1/1/13,3/1/13
3/6/13,1/1/13,1/1/13,3/1/13
3/7/13,1/1/13,1/1/13,3/1/13
3/8/13,1/1/13,1/1/13,3/1/13
3/9/13,1/1/13,1/1/13,3/1/13
3/10/13,1/1/13,1/1/13,3/1/13
3/11/13,1/1/13,1/1/13,3/1/13
3/12/13,1/1/13,1/1/13,3/1/13
3/13/13,1/1/13,1/1/13,3/1/13
3/14/13,1/1/13,1/1/13,3/1/13
3/15/13,1/1/13,1/1/13,3/1/13
3/16/13,1/1/13,1/1/13,3/1/13
3/17/13,1/1/13,1/1/13,3/1/13
3/18/13,1/1/13,1/1/13,3/1/13
3/19/13,1/1/13,1/1/13,3/1/13
3/20/13,1/1/13,1/1/13,3/1/13
3/21/13,1/1/13,1/1/13,3/1/13
3/22/13,1/1/13,1/1/13,3/1/13
3/23/13,1/1/13,1/1/13,3/1/13
3/24/13,1/1/13,1/1/13,3/1/13
3/25/13,1/1/13,1/1/13,3/1/13
3/26/13,1/1/13,1/1/13,3/1/13
3/27/13,1/1/13,1/1/13,3/1/13
3/28/13,1/1/13,1/1/13,3/1/13
3/29/13,1/1/13,1/1/13,3/1/13
3/30/13,1/1/13,1/1/13,3/1/13
3/31/13,1/1/13,1/1/13,3/1/13
4/1/13,1/1/13,4/1/13,4/1/13
4/2/13,1/1/13,4/1/13,4/1/13
4/3/13,1/1/13,4/1/13,4/1/13
4/4/13,1/1/13,4/1/13,4/1/13
4/5/13,1/1/13,4/1/13,4/1/13
4/6/13,1/1/13,4/1/13,4/1/13
4/7/13,1/1/13,4/1/13,4/1/13
4/8/13,1/1/13,4/1/13,4/1/13
4/9/13,1/1/13,4/1/13,4/1/13
4/10/13,1/1/13,4/1/13,4/1/13
4/11/13,1/1/13,4/1/13,4/1/13
4/12/13,1/1/13,4/1/13,4/1/13
4/13/13,1/1/13,4/1/13,4/1/13
4/14/13,1/1/13,4/1/13,4/1/13
4/15/13,1/1/13,4/1/13,4/1/13
4/16/13,1/1/13,4/1/13,4/1/13
4/17/13,1/1/13,4/1/13,4/1/13
4/18/13,1/1/13,4/1/13,4/1/13
4/19/13,1/1/13,4/1/13,4/1/13
4/20/13,1/1/13,4/1/13,4/1/13
4/21/13,1/1/13,4/1/13,4/1/13
4/22/13,1/1/13,4/1/13,4/1/13
4/23/13,1/1/13,4/1/13,4/1/13
4/24/13,1/1/13,4/1/13,4/1/13
4/25/13,1/1/13,4/1/13,4/1/13
4/26/13,1/1/13,4/1/13,4/1/13
4/27/13,1/1/13,4/1/13,4/1/13
4/28/13,1/1/13,4/1/13,4/1/13
4/29/13,1/1/13,4/1/13,4/1/13
4/30/13,1/1/13,4/1/13,4/1/13
5/1/13,1/1/13,4/1/13,5/1/13
5/2/13,1/1/13,4/1/13,5/1/13
5/3/13,1/1/13,4/1/13,5/1/13
5/4/13,1/1/13,4/1/13,5/1/13
5/5/13,1/1/13,4/1/13,5/1/13
5/6/13,1/1/13,4/1/13,5/1/13
5/7/13,1/1/13,4/1/13,5/1/13
5/8/13,1/1/13,4/1/13,5/1/13
5/9/13,1/1/13,4/1/13,5/1/13
5/10/13,1/1/13,4/1/13,5/1/13
5/11/13,1/1/13,4/1/13,5/1/13
5/12/13,1/1/13,4/1/13,5/1/13
